DATE_FOR,RTD_ST_CD,CustomerSegment,Tenure,Age,MART_STATUS,GENDER,CHANNEL1_6M,CHANNEL2_6M,CHANNEL3_6M,CHANNEL4_6M,CHANNEL5_6M,METHOD1_6M,RECENT_PAYMENT,PAYMENTS_6M,CHANNEL1_3M,CHANNEL2_3M,CHANNEL3_3M,CHANNEL4_3M,CHANNEL5_3M,METHOD1_3M,PAYMENTS_3M,NOT_DI_3M,NOT_DI_6M,EVENT1_30_FLAG,EVENT2_90_SUM,LOGINS,POLICYPURCHASECHANNEL,Call_Flag
5/19/2014,ST_S0,1,16.175222,78.403833,MS_S0,F,0,0,1,0,5,0,0,6,0,0,1,0,2,0,3,0,0,0,0,0,0,0
5/17/2014,ST_S0,1,15.931554,70.989733,MS_S1,F,0,6,0,0,0,6,0,6,0,3,0,0,0,3,3,0,0,0,0,0,0,0
5/15/2014,ST_S0,1,15.937029,87.578371,MS_S2,M,0,0,10,0,0,0,0,10,0,0,6,0,0,0,6,0,0,0,0,0,0,0
5/16/2014,ST_S1,1,15.934292,68.438056,MS_S2,M,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5/20/2014,ST_S0,1,15.501711,80.514716,MS_S0,F,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5/15/2014,ST_S0,1,15.362081,54.340862,MS_S1,M,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/16/2014,ST_S2,1,15.22245,63.33744,MS_S2,M,0,4,0,0,0,4,0,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0
5/15/2014,ST_S3,1,15.682409,55.126626,MS_S2,M,0,6,0,0,0,6,0,6,0,3,0,0,0,3,3,0,0,0,0,0,0,0
5/15/2014,ST_S3,1,15.937029,67.359343,MS_S2,M,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,1,0,0
5/14/2014,ST_S3,1,16.328542,56.761123,MS_S2,F,0,0,0,0,6,0,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0
5/15/2014,ST_S4,1,16.347707,55.934292,MS_S2,M,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,2,0,0
5/13/2014,ST_S0,1,16.106776,50.603696,MS_S2,M,0,0,0,0,4,0,0,4,0,0,0,0,1,0,1,0,0,0,0,4,0,0
5/14/2014,ST_S2,1,16.021903,50.110883,MS_S1,F,0,6,0,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0
5/20/2014,ST_S3,1,16.19165,80.577687,MS_S0,M,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/19/2014,ST_S0,1,16.251882,55.646817,MS_S2,M,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,1,0,0
5/15/2014,ST_S0,1,16.240931,66.513347,MS_S2,F,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/18/2014,ST_S0,1,15.928816,64.010951,MS_S2,M,0,0,0,0,5,0,0,5,0,0,0,0,2,0,2,0,0,0,0,0,0,0
5/15/2014,ST_S5,1,16.262834,48.183436,MS_S1,F,0,0,6,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/18/2014,ST_S6,1,16.17796,71.49076,MS_S3,F,0,2,0,0,0,1,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0
5/14/2014,ST_S0,1,16.350445,61.612594,MS_S2,M,0,2,0,0,4,0,0,6,0,1,0,0,2,0,3,0,0,0,0,0,0,0
5/14/2014,ST_S2,1,15.942505,45.314168,MS_S2,M,0,2,3,0,0,0,0,5,0,1,2,0,0,0,3,0,0,0,2,0,0,0
5/16/2014,ST_S0,1,16.344969,67.655031,MS_S2,M,0,2,5,0,0,0,0,7,0,0,3,0,0,0,3,0,0,0,0,0,0,0
5/19/2014,ST_S7,1,16.336756,42.833676,MS_S2,F,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
5/13/2014,ST_S8,1,18.735113,74.313484,MS_S4,F,0,0,0,4,0,4,0,4,0,0,0,2,0,2,2,0,0,0,0,0,0,1
